location,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020
"China/Jiangsu",0,0,0,1,1,1,1,1,1,5,6,7,8,12,23,34,43,51,71,81,93,125,139,157,186,218,258,280,318,356,373,401,418,452,458,478,498,515,523,536,543,562,577,583,594,606,612,621,627,627,629,630,630,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631
"China/Jiangxi",0,0,0,0,0,2,3,3,5,7,9,12,18,20,27,37,45,55,73,105,128,152,170,187,210,240,275,310,362,433,489,555,613,645,683,719,754,790,811,831,850,870,884,901,909,916,919,923,927,932,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,935,935,935
"China/Jilin",0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,12,13,18,22,24,25,26,30,34,36,37,43,45,52,54,60,63,65,67,73,75,78,83,83,86,88,90,90,90,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
"China/Liaoning",0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,5,7,8,12,13,19,20,22,29,31,40,43,53,55,59,61,66,73,80,83,88,93,93,96,103,103,106,106,106,106,107,109,109,111,111,112,112,113,114,115,120,122,122,122,122,124,124,124,124,124,124,124,124,124,124,124
"China/Macau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,5,5,5,5,6,6,6,6,6,7,7,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"China/Ningxia",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,15,13,13,22,24,24,24,33,33,35,42,42,44,48,48,56,58,61,65,68,68,69,69,69,69,69,69,71,71,71,71,71,72,72,72,73,73,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
"China/Qinghai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,9,11,11,13,13,13,15,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"China/Shaanxi",0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,17,20,25,30,32,43,46,54,60,71,79,89,102,118,134,149,163,173,186,192,195,199,207,208,216,216,223,224,226,226,227,227,227,232,232,232,232,232,233,236,237,237,237,239,239,239,240,240,242,242,242,242,242,242,242
"China/Shandong",0,0,0,0,0,0,0,1,1,2,3,6,7,11,15,27,37,44,63,66,80,92,105,136,156,173,191,211,231,254,281,302,321,343,355,377,387,405,421,443,460,511,516,578,618,627,642,700,719,726,734,739,741,741,746,746,746,747,748,749,750,751,752,752,752,752,752,752,753,753,753
"China/Shanghai",0,0,1,1,1,3,4,5,5,9,10,10,10,12,15,25,30,41,44,48,52,57,62,90,124,140,161,177,186,199,211,227,249,261,268,272,276,279,287,290,292,294,298,303,306,313,314,315,319,320,321,324,324,324,325,325,326,326,326,327,328,329,330,330,331,334,334,334,338,341,341
"China/Shanxi",0,0,0,0,0,0,0,1,1,1,1,3,2,4,5,12,15,21,25,25,30,33,36,38,46,50,53,61,68,76,78,81,88,94,98,104,107,112,114,116,119,124,124,126,126,126,126,127,131,131,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
"China/Sichuan",0,0,0,0,0,0,0,1,1,1,3,11,14,14,24,31,42,60,71,80,85,92,104,114,119,131,156,169,188,217,231,250,261,276,289,307,321,338,351,365,386,394,406,425,442,454,464,466,478,488,498,503,511,516,516,520,525,536,536,536,536,536,536,536,536,536,536,536,536,536,537
"China/Tianjin",0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,8,10,11,21,31,37,45,46,48,54,59,62,65,81,87,91,96,102,102,109,111,111,124,124,128,128,128,128,130,131,131,132,132,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,135,135
"China/Tibet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"China/Xinjiang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,10,12,12,12,20,22,24,25,28,30,30,34,43,52,62,64,66,68,69,70,71,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
"China/Yunnan",0,0,0,0,0,0,0,0,0,1,2,3,5,5,5,7,12,17,18,19,20,26,27,36,42,42,47,57,60,79,96,107,115,124,129,144,150,156,157,163,168,169,169,169,170,170,170,170,170,170,170,170,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
"China/Zhejiang",0,0,1,1,1,1,3,3,4,14,21,32,43,62,78,94,123,175,201,242,270,321,360,403,428,456,507,535,604,633,679,719,760,782,808,867,932,975,1016,1046,1069,1093,1114,1124,1147,1154,1161,1176,1191,1195,1197,1197,1211,1211,1216,1216,1216,1217,1219,1219,1219,1221,1221,1221,1222,1222,1225,1225,1225,1226,1226
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,6,8,8,10,10,10,15,31,39
"Congo (Brazzaville)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo (Kinshasa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3
"Costa Rica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,4,4,4
"Cote d'Ivoire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,4,6,7,9
"Croatia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,5,5,5,5,5,5,22,22,37,45,52,67,67,73
"Cuba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,8,12
